prompt,chosen,rejected
What is a skill you admire in others?,interrogative,imperative
"Yay, let’s embrace the journey!",exclamative,imperative
"Hooray, let’s play!",exclamative,imperative
How stunning that dance was!,exclamative,imperative
Where is the nearest station?,interrogative,imperative
Embark on a journey.,imperative,exclamative
What a unique cultural experience!,exclamative,declarative
Swim in the ocean.,imperative,interrogative
Lead with kindness.,imperative,exclamative
The heart of a blue whale can weigh as much as a small car.,declarative,exclamative
"Eek, what just happened?",exclamative,interrogative
No problem!,exclamative,declarative
How lovely that flower arrangement is!,exclamative,declarative
What is your favorite outdoor activity?,interrogative,declarative
Do you have a favorite animal sound?,interrogative,imperative
Share your story.,imperative,declarative
Yippie yay!,exclamative,imperative
What’s your favorite game to play?,interrogative,imperative
A giraffe's neck is too short to reach the ground.,declarative,interrogative
Gratitude!,exclamative,interrogative
"Yikes, that must have hurt!",exclamative,declarative
Keep moving forward.,imperative,declarative
What a brilliant display of creativity!,exclamative,imperative
"Stop it, please.",imperative,interrogative
How exciting this journey is!,exclamative,interrogative
Cultivate meaningful routines.,imperative,exclamative
The name of the first cat in space was Félicette.,declarative,interrogative
Oof!,exclamative,interrogative
"Wow, so much joy!",exclamative,declarative
You have arrived!,exclamative,declarative
What the heck!,exclamative,imperative
Explore artistic mediums.,imperative,declarative
Voila!,exclamative,imperative
How beautiful the colors of fall are!,exclamative,interrogative
What type of weather makes you happy?,interrogative,imperative
A day on Saturn is just over 10 hours long.,declarative,interrogative
How refreshing and energizing this feels!,exclamative,declarative
"Bravo, let’s showcase our skills!",exclamative,interrogative
Uh-oh spaghetti-o!,exclamative,interrogative
That's a sweet deal!,exclamative,interrogative
"Amazing, what a turnaround!",exclamative,declarative
Try new flavors.,imperative,declarative
How uplifting this song is!,exclamative,imperative
Just remarkable!,exclamative,imperative
What a splendid performance!,exclamative,imperative
A group of hedgehogs is called a “array.”,declarative,imperative
"Hooray, new adventures ahead!",exclamative,imperative
That's not cool!,exclamative,imperative
That's multi-faceted!,exclamative,interrogative
Cherish meaningful relationships.,imperative,interrogative
See you at the top!,exclamative,interrogative
Can I please borrow that?,imperative,interrogative
Do you enjoy learning about history?,interrogative,exclamative
"Ah, what a joy this is!",exclamative,declarative
"Whoa, slow down there!",exclamative,interrogative
Open your mind.,imperative,interrogative
Hummm!,exclamative,imperative
What’s your favorite food?,interrogative,declarative
Do you believe in karma?,interrogative,imperative
Write a diary entry.,imperative,interrogative
"Yay, let’s unify our efforts!",exclamative,imperative
What an impressive structure that is!,exclamative,interrogative
Can you please share that with me?,imperative,interrogative
What a fun-filled day we had!,exclamative,interrogative
"Bravo, we’re a team!",exclamative,interrogative
Attend live performances.,imperative,exclamative
Elephants are the only animals that can't jump.,declarative,interrogative
Honey never spoils; it has been found in ancient Egyptian tombs.,declarative,imperative
Dolphins can communicate using clicks and whistles.,declarative,imperative
"Hooray, adventures are calling!",exclamative,imperative
"Say ""thank you.""",imperative,declarative
Sing it out!,exclamative,interrogative
"Your nose can remember 50,000 different scents.",declarative,imperative
Validate your feelings.,imperative,declarative
Design a new space.,imperative,interrogative
How pleasant this weather is!,exclamative,imperative
Collaborate on projects.,imperative,exclamative
What a fantastic soundtrack!,exclamative,imperative
How often do you try new things?,interrogative,declarative
What’s a song that makes you want to dance?,interrogative,imperative
How fun and interactive this new concept is!,exclamative,interrogative
What a remarkable ceramic piece!,exclamative,declarative
Snakes can help predict earthquakes.,declarative,exclamative
Smooth move!,exclamative,interrogative
Salud!,exclamative,declarative
"Whoa, what a moment to cherish!",exclamative,interrogative
What an impressive feat of strength!,exclamative,imperative
Fill the tank.,imperative,declarative
"Whoa, look at that view!",exclamative,declarative
"Yikes, watch your speed!",exclamative,declarative
"Hooray, let’s make an impact!",exclamative,interrogative
How stunning that outfit is!,exclamative,imperative
Good catch!,exclamative,interrogative
What a charming little shop!,exclamative,imperative
Collect moments.,imperative,interrogative
What’s your guilty pleasure TV show?,interrogative,imperative
A goldfish can distinguish different colors.,declarative,exclamative
"Oh wow, incredible views!",exclamative,declarative
Okey-dokey!,exclamative,interrogative
Epic!,exclamative,interrogative
How lovely your garden is!,exclamative,declarative
Engage in daily kindness.,imperative,exclamative
How spectacular the night sky looks right now!,exclamative,imperative
Tightly knit!,exclamative,interrogative
Seahorses are the only animals where the male carries the young.,declarative,imperative
Take a bow!,exclamative,declarative
Explore innovative solutions.,imperative,interrogative
Build connections.,imperative,exclamative
How generous of you to help!,exclamative,declarative
"A group of owls is known as a ""parliament.""",declarative,exclamative
What’s your favorite childhood game?,interrogative,declarative
Capture fiery sunsets.,imperative,exclamative
Network with fellow creatives.,imperative,declarative
What a stunning performance!,exclamative,imperative
Here’s to you!,exclamative,interrogative
Stand firm in your values.,imperative,declarative
"Hooray, the magic is here!",exclamative,imperative
"The dot over the letter ""i"" is called a tittle.",declarative,exclamative
Lemurs communicate with each other through vocalizations.,declarative,exclamative
"Yikes, what a surprise!",exclamative,interrogative
"Oh wow, such promise!",exclamative,declarative
Just sublime!,exclamative,imperative
Please don’t forget your jacket.,imperative,declarative
"Phew, that was close!",exclamative,imperative
Let your creativity flow.,imperative,interrogative
Happy journey!,exclamative,declarative
Live with intention.,imperative,exclamative
"Whoa, how vibrant!",exclamative,interrogative
Support your local businesses.,imperative,declarative
How charming this little village is!,exclamative,imperative
How do you deal with negativity?,interrogative,exclamative
What a fantastic encounter that turned out to be!,exclamative,imperative
Wombat poop is cube-shaped.,declarative,exclamative
"A group of crows is called a ""murder.""",declarative,exclamative
"Hooray, let’s beautify our space!",exclamative,interrogative
How vibrant the colors are in spring!,exclamative,interrogative
Yazoo!,exclamative,interrogative
Don’t skip breakfast.,imperative,interrogative
What’s for dinner?,interrogative,exclamative
What a heartfelt apology!,exclamative,declarative
Write daily affirmations.,imperative,exclamative
"Hurray, let’s explore!",exclamative,declarative
How sweet that compliment was!,exclamative,declarative
"Oops, that slipped my mind!",exclamative,interrogative
The average person walks the equivalent of five times around the world.,declarative,imperative
"Phew, what an overwhelming day!",exclamative,interrogative
"Hooray, we will succeed!",exclamative,imperative
Start a journal of blessings.,imperative,exclamative
Who's your buddy?,exclamative,interrogative
"Wow, that’s truly amazing!",exclamative,imperative
Engage with local history.,imperative,declarative
"Hooray, we’ll make it happen!",exclamative,declarative
Engage in cooperative efforts.,imperative,interrogative
What a splendid moment!,exclamative,imperative
Sure!,exclamative,imperative
Yippee kay yay!,exclamative,interrogative
What a phenomenal surprise!,exclamative,interrogative
What’s your favorite childhood show?,interrogative,declarative
A sneeze travels about 100 miles per hour.,declarative,interrogative
Shine on!,exclamative,imperative
Practice gratitude.,imperative,exclamative
Contribute to good causes.,imperative,exclamative
How impressive that painting looks in person!,exclamative,declarative
"Eek, that’s unexpected!",exclamative,interrogative
"Wow, how wonderful!",exclamative,imperative
The smallest bone in the human body is in the ear.,declarative,interrogative
Quite a few!,exclamative,interrogative
What a feeling!,exclamative,imperative
"Whoopee, best day ever!",exclamative,interrogative
Clean the dishes.,imperative,declarative
Goldfish have a memory span of three months.,declarative,interrogative
Are you an early bird or a night owl?,interrogative,imperative
Careful there!,exclamative,interrogative
What a dramatic change in scenery!,exclamative,interrogative
Toast the occasion.,imperative,interrogative
Stay curious!,exclamative,interrogative
Engage in mindfulness.,imperative,declarative
Foster emotional growth.,imperative,exclamative
You can hear a blue whale's heartbeat from over two miles away.,declarative,interrogative
How enjoyable this game is!,exclamative,declarative
The world's largest snowflake was over 15 inches wide.,declarative,interrogative
Organize a creative retreat.,imperative,interrogative
Oh snap!,exclamative,declarative
Build a strong foundation.,imperative,interrogative
How charming the atmosphere is at dusk!,exclamative,declarative
"Gosh, what a surprise party!",exclamative,declarative
How captivating your story is!,exclamative,interrogative
Sea otters have a pouch in their armpit to store their favorite rock.,declarative,exclamative
Jump into the fray!,exclamative,imperative
Appreciate the small things.,imperative,interrogative
"Amazing, so much enthusiasm!",exclamative,declarative
Elephants can communicate through low-frequency sounds.,declarative,exclamative
Are you a foodie?,interrogative,declarative
Cultivate gratitude.,imperative,interrogative
See you soon!,exclamative,interrogative
What a striking contrast!,exclamative,imperative
Can you think of a time you helped someone?,interrogative,exclamative
"Oops, my bad!",exclamative,declarative
Have you ever been to a concert?,interrogative,imperative
Do you enjoy puzzles?,interrogative,exclamative
Do you like thrift shopping?,interrogative,imperative
What a fun trivia game!,exclamative,imperative
Host a neighborhood gathering.,imperative,interrogative
The average person will spend six months waiting for red lights to turn green.,declarative,imperative
Clarify your intentions.,imperative,interrogative
A sneeze can travel up to 100 miles per hour.,declarative,exclamative
"Eek, we need to hurry!",exclamative,imperative
Keep it simple.,imperative,declarative
I say!,exclamative,interrogative
"Whoa, that’s quite a twist!",exclamative,declarative
How fascinating the architecture is here!,exclamative,interrogative
What’s your favorite thing to do alone?,interrogative,imperative
What a luxury to relax today!,exclamative,declarative
All aboard the joy train!,exclamative,imperative
How lively this street is!,exclamative,interrogative
"Most of a human brain is fat, making it the fattiest organ in the body.",declarative,interrogative
What an adorable puppy!,exclamative,declarative
Recognize individual contributions.,imperative,exclamative
How wonderful this day has turned out!,exclamative,interrogative
The average human brain has about 100 billion neurons.,declarative,imperative
What’s your favorite childhood song?,interrogative,imperative
What a clever joke!,exclamative,declarative
What a magnificent display of fireworks!,exclamative,declarative
Try this dish.,imperative,interrogative
Light a fire.,imperative,interrogative
"The longest wedding veil was over 23,000 feet long.",declarative,interrogative
What a fantastic culinary experience!,exclamative,declarative
What a dream!,exclamative,declarative
Inspire a growth culture.,imperative,declarative
How inviting this pool looks!,exclamative,imperative
How inviting this quilt looks!,exclamative,imperative
How spectacular these city lights look!,exclamative,imperative
What is your favorite way to give back?,interrogative,declarative
"Fantastic, what a display!",exclamative,declarative
Birds can see UV light.,declarative,interrogative
Who would play you in a movie about your life?,interrogative,exclamative
Tell a story.,imperative,declarative
Yesh!,exclamative,imperative
"The average human being produces about 25,000 quarts of saliva in a lifetime.",declarative,interrogative
What a brilliant color choice!,exclamative,interrogative
What a bright future ahead!,exclamative,interrogative
Gather around friends.,imperative,declarative
The fastest land animal is the cheetah.,declarative,imperative
The average person will spend three years waiting at red lights.,declarative,interrogative
What a unique perspective you bring!,exclamative,declarative
Can we play a game?,interrogative,imperative
Celebrate your wins.,imperative,declarative
Spend time reflecting.,imperative,exclamative
The pot of gold!,exclamative,imperative
Find the solution.,imperative,interrogative
Prioritize your mental health.,imperative,exclamative
How did you meet your best friend?,interrogative,declarative
Cheers to you!,exclamative,declarative
Zut alors!,exclamative,declarative
It snows in the Sahara Desert.,declarative,exclamative
What a mess!,exclamative,interrogative
How upbeat this song is!,exclamative,interrogative
What a delightful view of the river!,exclamative,declarative
A cloud can weigh over a million pounds.,declarative,exclamative
Confidence in oneself.,imperative,declarative
Who knew?,exclamative,declarative
No yelling indoors.,imperative,interrogative
What’s your favorite type of cuisine?,interrogative,declarative
Celebrate with loved ones.,imperative,interrogative
Please follow the instructions.,imperative,declarative
What a spectacular fireworks show!,exclamative,declarative
Caffeine can help boost your memory and learning capabilities.,declarative,interrogative
How glorious this sunrise is!,exclamative,declarative
"Oh wow, what a cake!",exclamative,declarative
What a splendid variety of flowers!,exclamative,interrogative
What an imaginative work of fiction!,exclamative,interrogative
Do you like to be the center of attention?,interrogative,imperative
Goldfish can survive in low-oxygen conditions.,declarative,exclamative
Do you like surprises?,interrogative,exclamative
"The longest word in the English language is 189,819 letters long.",declarative,exclamative
"Yay, here’s to great times!",exclamative,interrogative
Seek out mentors for guidance.,imperative,interrogative
"Wow, that’s ingenious!",exclamative,interrogative
Sloths only defecate once a week.,declarative,interrogative
Exchange ideas.,imperative,interrogative
Yay!,exclamative,imperative
How lovely the sounds of nature are!,exclamative,declarative
Is it raining outside?,interrogative,imperative
What is your favorite instrument?,interrogative,declarative
"Oh wow, such enthusiasm!",exclamative,interrogative
What a lovely pattern that fabric has!,exclamative,interrogative
Meditate daily.,imperative,exclamative
"Golly, we did a great job!",exclamative,interrogative
"Yikes, that was loud!",exclamative,imperative
"Whoa, take a breath now!",exclamative,imperative
Schedule self-reflection.,imperative,exclamative
Share the news.,imperative,exclamative
Time to shine!,exclamative,declarative
"Yikes, what are the odds?",exclamative,interrogative
"Bravo, such amazing artistry!",exclamative,interrogative
You are enough!,exclamative,declarative
Be a mentor to others.,imperative,interrogative
What a lovely way to spend the evening!,exclamative,interrogative
Let's jump in!,exclamative,interrogative
A new dawn!,exclamative,declarative
What a breathtaking waterfall!,exclamative,interrogative
Cultivate self-discipline.,imperative,interrogative
I've got your back!,exclamative,interrogative
How grand the entrance looks!,exclamative,imperative
How rich this culture is!,exclamative,declarative
What a joyful gathering with friends!,exclamative,declarative
Sloths can hold their breath for up to 40 minutes.,declarative,imperative
Stretch your limits.,imperative,interrogative
"Aha, I found the answer!",exclamative,declarative
Live fully!,exclamative,interrogative
How refreshing that perspective is!,exclamative,interrogative
The smell of chocolate increases theta brain waves.,declarative,imperative
Onward!,exclamative,declarative
"An average person will eat approximately 35,000 cookies in their lifetime.",declarative,exclamative
Study a new topic.,imperative,exclamative
Are you a fan of reality TV?,interrogative,imperative
"Whoa, let’s celebrate together!",exclamative,imperative
The world's most common pet is a goldfish.,declarative,interrogative
How exciting this game is!,exclamative,declarative
"Phew, deep breaths!",exclamative,imperative
Never lie.,imperative,exclamative
Write a blog post.,imperative,declarative
Most people cannot lick their elbow.,declarative,exclamative
Have you ever changed your mind about something important?,interrogative,exclamative
What a beautiful melody that song has!,exclamative,declarative
Share your experiences generously.,imperative,exclamative
"Whoops, that was unexpected!",exclamative,interrogative
What a refreshing change of pace!,exclamative,declarative
Advocate for social causes.,imperative,exclamative
What a joyful celebration we had!,exclamative,imperative
Document personal histories.,imperative,interrogative
It's your time!,exclamative,imperative
Do you prefer online shopping or in-store?,interrogative,exclamative
How brilliant your solutions are!,exclamative,imperative
"Hooray, what splendid news!",exclamative,imperative
"Bravo, what a salute!",exclamative,imperative
How inviting this little cafe appears!,exclamative,interrogative
Delight in team successes.,imperative,declarative
What is your favorite city that you’ve visited?,interrogative,exclamative
What a thrilling finale that was!,exclamative,imperative
Yowza!,exclamative,declarative
How inspiring this story of growth is!,exclamative,declarative
The gray wolf can hear sounds at distances of up to 6 miles.,declarative,interrogative
Can you feel the love tonight?,exclamative,declarative
Do you believe in magic?,interrogative,declarative
Don’t disturb me.,imperative,declarative
Hold a documentary night.,imperative,declarative
How beautiful the architecture is here!,exclamative,declarative
"Oh, the humanity!",exclamative,interrogative
Fill the cup.,imperative,interrogative
Bake some cookies.,imperative,interrogative
Enrich your understanding.,imperative,declarative
How invigorating it feels to be outside!,exclamative,imperative
How fascinating this history is!,exclamative,declarative
"Amazing, such coordination!",exclamative,declarative
Carry the boxes.,imperative,exclamative
"Yay, what a cute puppy!",exclamative,declarative
Can you dig it?,exclamative,interrogative
What a marvelous surprise to see old friends!,exclamative,interrogative
Oh!,exclamative,declarative
Believe it or not!,exclamative,imperative
What an elegant gesture!,exclamative,declarative
"Aww, how heartwarming!",exclamative,declarative
Build alliances with others.,imperative,declarative
The world's longest place name has 85 letters.,declarative,interrogative
Sigh!,exclamative,interrogative
What an inventive piece of machinery!,exclamative,interrogative
"Hooray, let’s get prepared!",exclamative,imperative
"Phew, what an exhilarating ride!",exclamative,declarative
How delightful that dessert was!,exclamative,interrogative
Have you ever won a prize?,interrogative,declarative
Create a sense of belonging.,imperative,interrogative
What a surprising twist in the story!,exclamative,interrogative
Never be late.,imperative,declarative
Can you speak another language?,interrogative,imperative
Where do you live?,interrogative,imperative
Sweep the floor.,imperative,interrogative
Do you enjoy playing card games?,interrogative,exclamative
Do you prefer the mountains or the beach?,interrogative,exclamative
How electrifying the energy in the arena was!,exclamative,imperative
"Bravo, such creative talent!",exclamative,imperative
"Hooray, so much joy!",exclamative,interrogative
Never give up.,imperative,exclamative
"Hooray, we illuminated the way!",exclamative,imperative
"Yay, let’s unite for fun!",exclamative,interrogative
"Yay, the sky is the limit!",exclamative,interrogative
Here’s your chance!,exclamative,interrogative
"Alas, it’s over!",exclamative,interrogative
Watch your step!,exclamative,interrogative
Do you like to play video games?,interrogative,exclamative
What a lovely surprise visit!,exclamative,imperative
Please stop there.,imperative,exclamative
"Hooray, let’s elevate our spirits!",exclamative,imperative
Jolly good!,exclamative,imperative
Journal your thoughts.,imperative,exclamative
What an exhilarating day at the amusement park!,exclamative,interrogative
"Hooray, together is the best place to be!",exclamative,interrogative
What an enchanting tale!,exclamative,imperative
"Aww, how thoughtful!",exclamative,imperative
How luxurious this hotel is!,exclamative,declarative
How clever that strategy is!,exclamative,declarative
Big smiles!,exclamative,imperative
Together forever!,exclamative,declarative
"Eek, what happened next?",exclamative,interrogative
The giant squid has the largest eyes in the animal kingdom.,declarative,exclamative
"Oh dear, look at the mess!",exclamative,declarative
Goats are known to faint when startled.,declarative,interrogative
Assess your circumstances.,imperative,exclamative
How friendly and welcoming everyone is here!,exclamative,imperative
Make your vote count.,imperative,declarative
Pick up the pace.,imperative,exclamative
Look no further!,exclamative,imperative
"Oof, long day ahead!",exclamative,declarative
Make memories with family.,imperative,interrogative
What fictional world would you want to live in?,interrogative,exclamative
Clean your shoes.,imperative,interrogative
Koalas sleep up to 18 hours a day.,declarative,exclamative
How vibrant and lively this event is!,exclamative,declarative
How sweet the sound of rain is on the roof!,exclamative,interrogative
How elegant this hotel lobby feels!,exclamative,interrogative
Avoid junk food.,imperative,declarative
"Woah, that’s a cool car!",exclamative,imperative
Embrace your quirks.,imperative,interrogative
Are you superstitious?,interrogative,imperative
Capture your thoughts.,imperative,declarative
"A group of kangaroos is called a ""mob.""",declarative,interrogative
How charming it is to stroll down this street!,exclamative,interrogative
Would you please join us?,imperative,declarative
"A group of crows is referred to as a ""murder.""",declarative,imperative
"Hooray, let’s shine bright!",exclamative,imperative
What a beautiful starry night!,exclamative,interrogative
What a breathtaking moment in nature!,exclamative,imperative
Kindness rocks!,exclamative,imperative
Loo-wee!,exclamative,imperative
Penguins can drink seawater due to special glands.,declarative,interrogative
How pleasant this room smells!,exclamative,declarative
What a trip!,exclamative,declarative
Reflect positivity!,exclamative,imperative
Embark on learning journeys.,imperative,interrogative
Do you prefer baths or showers?,interrogative,exclamative
"Hooray, let’s get festive!",exclamative,imperative
Change your attitude.,imperative,interrogative
A group of owls is known as a parliament.,declarative,imperative
Just the beginning!,exclamative,declarative
"Yikes, take care of yourselves!",exclamative,declarative
You deserve this!,exclamative,interrogative
"Yikes, that’s overwhelming!",exclamative,declarative
"Wow, I’m really impressed!",exclamative,interrogative
Speak from the heart.,imperative,interrogative
Lighten someone’s load.,imperative,exclamative
"Phew, I’m excited for this!",exclamative,interrogative
Design your own happiness.,imperative,exclamative
Write it down.,imperative,exclamative
What an exciting surprise!,exclamative,interrogative
What an enthusiastic welcome we received!,exclamative,imperative
What a vintage moment of fun!,exclamative,interrogative
Pizzazz!,exclamative,imperative
Clean slate!,exclamative,interrogative
Participate in personal development.,imperative,interrogative
Please remember to breathe.,imperative,declarative
Wowza wowza!,exclamative,imperative
Ker-ching!,exclamative,imperative
You’re on point!,exclamative,interrogative
Respond thoughtfully.,imperative,exclamative
"Hooray, we did it!",exclamative,interrogative
What’s your favorite kind of chocolate?,interrogative,imperative
Brighten your space.,imperative,declarative
How joyous it is to celebrate milestones!,exclamative,imperative
"Hooray, let’s have an adventure!",exclamative,interrogative
"Oh my, so much to see!",exclamative,interrogative
"Bravo, what a talented performer!",exclamative,interrogative
Please be kind.,imperative,interrogative
Ride a bike.,imperative,interrogative
Let's get this party started!,exclamative,imperative
Tsk!,exclamative,imperative
Do you enjoy attending concerts?,interrogative,declarative
How lovely the sound of waves is!,exclamative,interrogative
"Phew, we’re finally here!",exclamative,declarative
How remarkable that story of survival was!,exclamative,interrogative
Start a community project.,imperative,interrogative
What are your thoughts on social media?,interrogative,declarative
Ride the wave!,exclamative,interrogative
Water boils at 100°C at sea level.,declarative,imperative
Do you have a favorite superhero?,interrogative,exclamative
Do you prefer tea or coffee?,interrogative,imperative
How unique this sculpture is!,exclamative,interrogative
"Whoops, I slipped!",exclamative,imperative
Nurture your aspirations.,imperative,interrogative
"Yay, let’s spread the joy!",exclamative,imperative
What a vibrant and alive city!,exclamative,imperative
Capuchin monkeys have been observed using stones to crack nuts.,declarative,exclamative
A typical ear of corn has an even number of rows.,declarative,exclamative
Moving mountains!,exclamative,imperative
Dilly dilly!,exclamative,imperative
Prioritize cultural exchange.,imperative,interrogative
Preserve your integrity.,imperative,exclamative
What an enjoyable film to watch!,exclamative,declarative
How creative your ideas are!,exclamative,declarative
The world's largest snowflake on record was 15 inches wide.,declarative,exclamative
What an amazing painting that is!,exclamative,interrogative
How splendid this event turned out!,exclamative,imperative
Life is beautiful!,exclamative,interrogative
"Whoa, slow down!",exclamative,declarative
"Eek, what a situation!",exclamative,imperative
"Oh dear, what a situation!",exclamative,imperative
Break the routine.,imperative,interrogative
A lion's roar can be heard up to five miles away.,declarative,exclamative
How charming this historical site is!,exclamative,declarative
Spread kindness everywhere.,imperative,interrogative
Honor your commitments.,imperative,interrogative
What a monumental occasion!,exclamative,imperative
Play the piano.,imperative,declarative
Appreciate diversity.,imperative,declarative
How dramatic that scene was!,exclamative,declarative
How splendid the evening light is!,exclamative,interrogative
Joyful!,exclamative,declarative
You’re golden!,exclamative,imperative
A panda's diet consists of over 99% bamboo.,declarative,exclamative
How thrilling that cliff dive was!,exclamative,imperative
That's it!,exclamative,imperative
"Yikes, be careful out there!",exclamative,imperative
Do you believe in ghosts?,interrogative,exclamative
The horse's closest living relative is the rhinoceros.,declarative,interrogative
Play your favorite music.,imperative,exclamative
That's crazy!,exclamative,interrogative
How fascinating the marine life is!,exclamative,interrogative
Count to ten.,imperative,declarative
Perfection!,exclamative,interrogative
"Uh-oh, trouble ahead!",exclamative,interrogative
Thank someone today.,imperative,interrogative
Give your best.,imperative,interrogative
Do you collect any memorabilia?,interrogative,exclamative
Peanuts are not nuts; they are legumes.,declarative,interrogative
How splendid this moment is!,exclamative,interrogative
"Amazing, what potential!",exclamative,declarative
Entertain new ideas.,imperative,exclamative
Dynamite!,exclamative,interrogative
The Great Wall of China is not visible from space with the naked eye.,declarative,interrogative
"Oops, I tripped!",exclamative,declarative
Mamma mia!,exclamative,declarative
What a splendid idea!,exclamative,interrogative
Write a song.,imperative,interrogative
Cheers!,exclamative,imperative
Foster creativity in others.,imperative,exclamative
How wonderful to see you!,exclamative,imperative
What is your favorite online platform?,interrogative,declarative
What a unique festival!,exclamative,interrogative
How moving that speech was!,exclamative,declarative
Meditate in silence.,imperative,exclamative
